team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Arsenal FC,37.17,31.98,24.42,4.81,1.25,0.26,0.08,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manchester City FC,34.14,32.6,26.66,5.06,1.1,0.33,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liverpool FC,27.79,31.02,31.24,6.92,2.11,0.6,0.22,0.06,0.01,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aston Villa FC,0.62,2.77,9.12,33.29,21.72,13.28,7.96,5.0,2.64,1.52,0.9,0.6,0.36,0.17,0.04,0.01,0.0,0.0,0.0,0.0
Newcastle United FC,0.17,0.79,4.11,19.14,21.93,17.66,12.47,8.4,5.74,3.88,2.3,1.5,0.86,0.68,0.23,0.11,0.03,0.0,0.0,0.0
Chelsea FC,0.07,0.36,2.46,13.15,18.4,17.34,14.02,10.53,7.42,5.61,3.83,2.72,1.86,1.08,0.72,0.35,0.08,0.0,0.0,0.0
Tottenham Hotspur FC,0.03,0.37,1.33,8.97,13.74,15.83,15.02,11.84,9.63,7.08,5.18,4.06,2.92,1.88,1.3,0.67,0.15,0.0,0.0,0.0
Brighton & Hove Albion FC,0.01,0.05,0.23,3.08,5.9,9.13,11.58,11.93,11.0,10.41,9.51,7.41,6.75,5.33,4.22,2.7,0.76,0.0,0.0,0.0
AFC Bournemouth,0.0,0.0,0.05,0.63,1.3,2.74,4.15,5.98,7.57,8.25,9.59,10.3,11.13,11.34,11.36,10.91,4.7,0.0,0.0,0.0
West Ham United FC,0.0,0.0,0.03,0.27,0.69,1.58,3.14,4.64,6.38,7.24,8.85,10.16,11.46,12.64,12.95,13.29,6.67,0.01,0.0,0.0
Southampton FC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09,5.23,9.34
Sheffield United FC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.97,7.19,12.5
Nottingham Forest FC,0.0,0.0,0.02,0.66,1.43,2.83,4.31,6.15,7.55,8.0,8.96,10.26,10.6,11.54,12.13,10.52,5.04,0.0,0.0,0.0
Manchester United FC,0.0,0.01,0.01,0.34,1.05,2.13,3.56,5.54,6.92,8.38,9.33,10.86,11.09,11.32,12.5,11.81,5.15,0.0,0.0,0.0
Leicester City FC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.49,22.12,22.51
Luton Town FC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,50.22,22.81,13.39
Ipswich Town FC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.23,24.71,20.96
Fulham FC,0.0,0.02,0.05,0.82,1.96,3.32,5.17,6.83,8.6,10.07,10.56,10.16,10.69,10.09,10.0,8.4,3.26,0.0,0.0,0.0
Everton FC,0.0,0.0,0.02,0.38,1.27,2.78,3.89,5.9,7.71,8.9,9.29,10.69,11.17,11.73,11.06,10.95,4.26,0.0,0.0,0.0
Crystal Palace FC,0.0,0.02,0.2,1.7,4.16,6.67,9.08,10.22,10.33,10.61,10.4,9.35,8.4,7.3,5.91,4.25,1.4,0.0,0.0,0.0
Burnley FC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.93,17.94,21.29
Brentford FC,0.0,0.01,0.05,0.78,1.98,3.5,5.15,6.79,8.19,9.61,10.44,10.34,10.36,10.83,10.41,8.68,2.88,0.0,0.0,0.0
Wolverhampton Wanderers FC,0.0,0.0,0.0,0.0,0.01,0.02,0.1,0.15,0.31,0.43,0.86,1.57,2.35,4.07,7.17,17.35,65.54,0.06,0.0,0.01
